"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",2
"102",0
"103",2
"104",2
"105",0
"106",0
"107",0
"108",0
"109",2
"110",0
"111",0
"112",0
"113",2
"114",2
"115",0
"116",2
"117",2
"118",2
"119",0
"120",2
"121",2
"122",0
"123",2
"124",2
"125",2
"126",2
"127",2
"128",2
"129",2
"130",2
"131",2
"132",0
"133",2
"134",0
"135",2
"136",2
"137",2
"138",2
"139",2
"140",0
"141",2
"142",0
"143",0
"144",2
"145",0
"146",2
"147",2
"148",2
"149",0
"150",0
"151",0
"152",2
"153",2
"154",0
"155",2
"156",2
"157",2
"158",2
"159",2
"160",0
"161",2
"162",0
"163",2
"164",2
"165",2
"166",2
"167",0
"168",2
"169",2
"170",2
"171",2
"172",2
"173",0
"174",2
"175",2
"176",0
"177",2
"178",0
"179",0
"180",2
"181",2
"182",2
"183",2
"184",2
"185",2
"186",0
"187",2
"188",2
"189",2
"190",2
"191",2
"192",0
"193",0
"194",2
"195",2
"196",2
"197",2
"198",2
"199",2
"200",2
"201",2
"202",2
"203",2
"204",2
"205",2
"206",2
"207",2
"208",2
"209",2
"210",2
"211",2
"212",2
"213",2
"214",2
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",0
"222",0
"223",2
"224",2
